Customer_ID,Gender,Age,Connect_Date,L_O_S,Dropped_Calls,Pay Method,tariff,Churn,Handset
'K100560','M',40,'12/04/96',54.800000,1,'Pre Pay','CAT 50','Churned','SOP20'
'K100570','M',41,'05/05/98',29.700000,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100580','M',27,'27/07/98',26.933333,1,'Pre Pay','CAT 50','Churned','SOP20'
'K100590','M',35,'20/02/96',56.533333,8,'Pre Pay','CAT 50','Churned','SOP20'
'K100600','M',35,'31/07/98',26.800000,0,'Pre Pay','CAT 50','Churned','SOP10'
'K100610','M',34,'16/07/96',51.633333,2,'Pre Pay','CAT 50','Churned','SOP20'
'K100620','M',30,'04/03/96',56.100000,1,'Pre Pay','CAT 50','Churned','SOP20'
'K100630','M',45,'01/10/96',49.066667,4,'Pre Pay','CAT 50','Churned','SOP10'
'K100640','M',37,'20/03/97',43.400000,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100650','M',48,'09/06/96',52.866667,3,'Pre Pay','CAT 50','Churned','SOP10'
'K100660','M',42,'28/10/99',11.666667,1,'Pre Pay','CAT 50','Churned','SOP20'
'K100670','M',38,'11/01/98',33.500000,2,'Pre Pay','CAT 50','Churned','SOP20'
'K100680','M',28,'02/10/97',36.866667,7,'Pre Pay','CAT 50','Churned','SOP20'
'K100690','M',30,'02/10/97',36.866667,2,'Pre Pay','CAT 50','Churned','SOP10'
'K100700','M',29,'05/04/99',18.533333,2,'Pre Pay','CAT 50','Churned','SOP10'
'K100710','M',37,'23/10/99',11.833333,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100720','M',40,'01/02/99',20.633333,1,'Pre Pay','CAT 50','Churned','SOP20'
'K100730','M',40,'31/07/96',51.133333,0,'Pre Pay','CAT 50','Churned','SOP20'
'K100740','M',37,'19/10/99',11.966667,1,'Pre Pay','CAT 50','Active','SOP10'
'K100750','M',28,'14/10/96',48.633333,1,'Pre Pay','CAT 50','Churned','SOP10'
'K100760','M',37,'24/05/99',16.900000,1,'Pre Pay','CAT 50','Churned','SOP20'
'K100770','M',33,'23/01/96',57.466667,2,'Pre Pay','Play 100','Churned','SOP10'
'K100780','M',36,'23/04/98',30.100000,2,'Pre Pay','Play 100','Churned','SOP10'
'K100790','M',29,'16/11/96',47.533333,1,'Pre Pay','Play 100','Churned','SOP10'
'K100800','M',39,'24/05/97',41.233333,1,'Pre Pay','Play 100','Churned','SOP20'
'K100810','M',42,'25/12/97',34.066667,0,'Pre Pay','Play 100','Churned','SOP20'
'K100820','M',37,'22/07/98',27.100000,0,'Pre Pay','Play 100','Churned','SOP20'
'K100830','M',33,'16/01/97',45.500000,8,'Pre Pay','Play 100','Churned','SOP10'
'K100840','M',33,'26/05/98',29.000000,1,'Pre Pay','Play 100','Churned','SOP20'
'K100850','M',31,'27/10/99',11.700000,2,'Pre Pay','Play 100','Churned','SOP20'
'K100860','M',25,'07/03/99',19.500000,0,'Pre Pay','Play 100','Churned','SOP10'
'K100870','M',38,'09/05/96',53.900000,7,'Pre Pay','Play 100','Churned','SOP20'
'K100880','M',33,'23/08/97',38.200000,0,'Pre Pay','Play 100','Churned','SOP20'
'K100890','M',42,'01/07/98',27.800000,7,'Pre Pay','Play 100','Churned','SOP10'
'K100900','M',27,'01/04/98',30.833333,2,'Pre Pay','Play 100','Churned','SOP10'
'K100910','M',28,'07/12/96',46.833333,1,'Pre Pay','Play 100','Churned','SOP20'
'K100920','M',33,'24/04/99',17.900000,2,'Pre Pay','Play 100','Churned','SOP10'
'K100930','M',25,'14/07/96',51.700000,1,'Pre Pay','Play 100','Churned','SOP10'
'K100940','M',42,'05/01/96',58.066667,5,'Pre Pay','Play 100','Churned','SOP10'
'K100950','M',38,'04/01/98',33.733333,1,'Pre Pay','Play 100','Churned','SOP10'
'K100960','M',25,'23/12/97',34.133333,0,'Pre Pay','Play 100','Churned','SOP20'
'K100970','M',37,'01/04/99',18.666667,1,'Pre Pay','Play 100','Churned','SOP10'
'K100980','M',30,'04/04/96',55.066667,2,'Pre Pay','Play 100','Churned','SOP20'
'K100990','M',28,'04/02/96',57.066667,1,'Pre Pay','Play 100','Churned','SOP20'
'K101000','M',41,'19/08/97',38.333333,1,'Pre Pay','Play 100','Churned','SOP20'
'K101010','M',28,'24/09/96',49.300000,8,'Pre Pay','Play 100','Active','SOP10'
'K101020','M',35,'06/02/99',20.466667,0,'Pre Pay','Play 100','Churned','SOP20'
'K101030','M',35,'13/08/99',14.200000,9,'Pre Pay','Play 100','Churned','SOP10'
'K101040','M',30,'25/07/98',27.000000,0,'Pre Pay','Play 100','Churned','SOP20'
'K101050','M',38,'02/01/98',33.800000,2,'Pre Pay','Play 100','Churned','SOP10'
'K101060','M',50,'02/05/97',41.966667,2,'Pre Pay','Play 100','Churned','SOP10'
'K101070','M',50,'16/09/96',49.566667,1,'Pre Pay','Play 100','Churned','SOP10'
'K101080','M',36,'13/05/99',17.266667,5,'Pre Pay','Play 100','Churned','SOP20'
'K101090','M',37,'28/04/97',42.100000,5,'Pre Pay','Play 100','Churned','SOP20'
'K101100','M',49,'15/07/98',27.333333,8,'Pre Pay','Play 100','Churned','SOP20'
'K101110','M',38,'03/10/96',49.000000,0,'Pre Pay','Play 100','Churned','SOP10'
'K101120','M',43,'26/03/97',43.200000,2,'Pre Pay','Play 100','Churned','SOP20'
'K101130','M',28,'06/11/97',35.700000,4,'Pre Pay','Play 100','Churned','SOP20'
'K101140','M',28,'22/12/99',9.833333,0,'Pre Pay','Play 100','Churned','SOP10'
'K101150','M',30,'21/02/99',19.966667,8,'Pre Pay','Play 100','Churned','SOP20'
'K101160','M',32,'11/02/99',20.300000,0,'Pre Pay','Play 100','Churned','SOP20'
'K101170','M',29,'21/01/96',57.533333,1,'Pre Pay','Play 100','Churned','SOP10'
'K101180','M',37,'10/02/99',20.333333,1,'Pre Pay','Play 100','Churned','SOP10'
'K101190','M',27,'18/08/97',38.366667,2,'Pre Pay','Play 100','Churned','SOP10'
'K101200','M',28,'26/11/96',47.200000,0,'Pre Pay','Play 100','Churned','SOP10'
'K101210','M',37,'04/07/96',52.033333,0,'Pre Pay','Play 100','Churned','SOP20'
'K101220','M',32,'23/12/96',46.300000,9,'Pre Pay','Play 100','Churned','SOP10'
'K101230','M',44,'13/11/99',11.133333,0,'Pre Pay','Play 100','Churned','SOP10'
'K101240','M',26,'26/10/97',36.066667,2,'Pre Pay','Play 100','Churned','SOP20'
'K101250','M',44,'03/02/97',44.900000,2,'Pre Pay','Play 100','Churned','SOP20'
'K101260','M',32,'27/11/97',35.000000,9,'Pre Pay','Play 100','Churned','SOP20'
'K101270','M',49,'08/07/97',39.733333,0,'Pre Pay','Play 100','Churned','SOP20'
'K101280','M',30,'31/03/99',18.700000,6,'Pre Pay','Play 100','Churned','SOP10'
'K101290','M',27,'26/04/97',42.166667,6,'Pre Pay','Play 100','Churned','SOP20'
'K101300','M',38,'27/11/97',35.000000,1,'Pre Pay','Play 100','Churned','SOP10'
'K101310','M',41,'24/08/98',26.000000,2,'Pre Pay','Play 100','Churned','SOP10'
'K101320','M',34,'28/06/98',27.900000,0,'Pre Pay','Play 100','Churned','SOP20'
'K101330','M',44,'01/02/99',20.633333,1,'Pre Pay','Play 100','Churned','SOP10'
'K101340','M',41,'17/12/98',22.166667,2,'Pre Pay','Play 100','Churned','SOP20'
'K101350','M',33,'13/03/97',43.633333,1,'Pre Pay','Play 100','Churned','SOP20'
'K101360','M',36,'13/01/98',33.433333,2,'Pre Pay','Play 100','Churned','SOP10'
'K101370','M',40,'17/07/97',39.433333,0,'Pre Pay','Play 100','Churned','SOP10'
'K101380','M',47,'15/09/97',37.433333,2,'Pre Pay','Play 100','Churned','SOP20'
'K101390','M',43,'06/09/98',25.566667,5,'Pre Pay','Play 100','Churned','SOP10'
'K101400','M',26,'27/12/99',9.666667,1,'Pre Pay','Play 100','Churned','SOP10'
'K101410','M',26,'05/04/97',42.866667,1,'Pre Pay','Play 100','Churned','SOP10'
'K101420','M',33,'04/06/96',53.033333,3,'Pre Pay','Play 100','Churned','SOP10'
'K101430','M',47,'14/05/98',29.400000,2,'Pre Pay','Play 100','Churned','SOP10'
'K101440','M',37,'10/09/99',13.266667,0,'Pre Pay','Play 100','Churned','SOP10'
'K101450','M',38,'03/02/99',20.566667,9,'Pre Pay','Play 100','Churned','SOP10'
'K101460','M',29,'01/09/97',37.900000,9,'Pre Pay','Play 100','Churned','SOP20'
'K101470','M',30,'20/03/97',43.400000,3,'Pre Pay','Play 100','Churned','SOP20'
'K101480','M',26,'02/04/99',18.633333,2,'Pre Pay','Play 100','Churned','SOP10'
'K101490','M',27,'14/10/96',48.633333,2,'Pre Pay','Play 100','Churned','SOP10'
'K101500','M',26,'11/05/99',17.333333,1,'Pre Pay','Play 100','Churned','SOP20'
'K101510','M',34,'01/10/97',36.900000,10,'Pre Pay','Play 100','Churned','SOP10'
'K101520','M',45,'17/08/96',50.566667,1,'Pre Pay','Play 100','Churned','SOP10'
'K101530','M',37,'01/05/96',54.166667,2,'Pre Pay','Play 100','Churned','SOP20'
'K101540','M',29,'01/01/98',33.833333,0,'Pre Pay','Play 100','Churned','SOP10'
'K101550','M',30,'20/12/97',34.233333,0,'Pre Pay','Play 100','Churned','SOP10'
'K101560','M',44,'12/03/97',43.666667,0,'Pre Pay','Play 100','Churned','SOP20'
'K101570','M',26,'02/04/97',42.966667,2,'Pre Pay','Play 100','Churned','SOP10'
'K101580','M',25,'05/07/96',52.000000,1,'Pre Pay','Play 100','Churned','SOP10'
'K101590','M',39,'01/10/98',24.733333,2,'Pre Pay','Play 100','Churned','SOP20'
'K101600','M',25,'18/12/98',22.133333,3,'Pre Pay','Play 100','Churned','SOP20'
'K101610','M',50,'02/02/98',32.766667,1,'Pre Pay','Play 100','Churned','SOP20'
'K101620','M',28,'31/07/97',38.966667,1,'Pre Pay','Play 100','Churned','SOP10'
'K101630','M',33,'03/09/99',13.500000,1,'Pre Pay','Play 100','Churned','SOP20'
'K101640','M',31,'20/09/97',37.266667,1,'Pre Pay','Play 100','Churned','SOP10'
'K101650','M',25,'25/07/97',39.166667,0,'Pre Pay','Play 100','Churned','SOP20'
'K101660','M',31,'12/01/97',45.633333,2,'Pre Pay','Play 100','Churned','SOP10'
'K101670','M',25,'11/06/98',28.466667,0,'Pre Pay','Play 100','Churned','SOP20'
'K101680','M',25,'15/12/98',22.233333,0,'Pre Pay','Play 100','Churned','SOP10'
'K101690','M',33,'01/08/98',26.766667,1,'Pre Pay','Play 100','Churned','SOP20'
'K101700','M',28,'23/02/99',19.900000,9,'Pre Pay','Play 100','Churned','SOP10'
'K101710','M',30,'27/08/99',13.733333,11,'Pre Pay','Play 100','Churned','SOP10'
'K101720','M',36,'26/04/96',54.333333,2,'Pre Pay','Play 100','Churned','SOP20'
'K101730','M',45,'09/02/98',32.533333,2,'Pre Pay','Play 100','Churned','SOP10'
'K101740','M',35,'01/06/96',53.133333,2,'Pre Pay','Play 100','Churned','SOP20'
'K101750','M',44,'19/11/97',35.266667,2,'Pre Pay','Play 100','Churned','SOP20'
'K101760','M',28,'25/03/98',31.066667,7,'Pre Pay','Play 100','Churned','SOP20'
'K101770','M',30,'06/05/99',17.500000,0,'Pre Pay','Play 100','Churned','SOP20'
'K101780','M',33,'25/08/98',25.966667,0,'Pre Pay','Play 100','Churned','SOP20'
'K101790','M',30,'04/02/97',44.866667,1,'Pre Pay','Play 100','Churned','SOP10'
'K101800','M',40,'21/07/96',51.466667,2,'Pre Pay','Play 100','Churned','SOP10'
'K101810','M',44,'14/05/99',17.233333,1,'Pre Pay','Play 100','Churned','SOP20'
'K101820','M',26,'03/06/96',53.066667,0,'Pre Pay','Play 100','Churned','SOP20'
'K101830','M',37,'16/10/98',24.233333,1,'Pre Pay','Play 100','Churned','SOP20'
'K101840','M',30,'23/01/98',33.100000,1,'Pre Pay','Play 100','Churned','SOP10'
'K101850','M',29,'08/12/97',34.633333,1,'Pre Pay','Play 100','Churned','SOP20'
'K101860','M',28,'12/08/99',14.233333,0,'Pre Pay','Play 100','Churned','SOP10'
'K101870','M',31,'12/10/98',24.366667,2,'Pre Pay','Play 100','Active','SOP20'
'K101880','M',45,'27/03/98',31.000000,2,'Pre Pay','Play 100','Churned','SOP10'
'K101890','M',33,'27/05/99',16.800000,1,'Pre Pay','Play 100','Churned','SOP20'
'K101900','M',39,'26/07/98',26.966667,0,'Pre Pay','Play 100','Churned','SOP10'
'K101910','M',25,'04/06/98',28.700000,0,'Pre Pay','Play 100','Churned','SOP10'
'K101920','M',29,'09/05/99',17.400000,0,'Pre Pay','Play 100','Churned','SOP10'
'K101930','M',25,'02/04/98',30.800000,1,'Pre Pay','Play 100','Churned','SOP10'
'K101940','M',33,'01/01/99',21.666667,0,'Pre Pay','Play 100','Churned','SOP10'
'K101950','M',34,'28/07/97',39.066667,1,'Pre Pay','Play 100','Churned','SOP20'
'K101960','M',39,'20/05/97',41.366667,2,'Pre Pay','Play 100','Churned','SOP10'
'K101970','M',33,'27/05/98',28.966667,2,'Pre Pay','Play 100','Churned','SOP20'
'K101980','M',28,'27/04/99',17.800000,1,'Pre Pay','Play 100','Churned','SOP10'
'K101990','M',41,'05/12/97',34.733333,0,'Pre Pay','Play 100','Churned','SOP20'
'K102000','M',32,'03/10/97',36.833333,6,'Pre Pay','Play 100','Churned','SOP10'
'K102010','M',32,'25/01/96',57.400000,2,'Pre Pay','Play 100','Churned','SOP10'
'K102020','M',38,'15/08/96',50.633333,6,'Pre Pay','Play 100','Churned','SOP20'
'K102030','M',37,'05/08/97',38.800000,7,'Pre Pay','Play 100','Churned','SOP20'
'K102040','M',26,'11/03/99',19.366667,2,'Pre Pay','Play 100','Churned','SOP20'
'K102050','M',36,'07/10/96',48.866667,1,'Pre Pay','Play 100','Churned','SOP10'
'K102060','F',55,'31/05/97',41.000000,1,'Pre Pay','CAT 50','Churned','SOP20'
'K102070','F',68,'01/06/97',40.966667,1,'Pre Pay','CAT 50','Churned','SOP10'
'K102080','M',57,'18/01/98',33.266667,0,'Pre Pay','CAT 50','Churned','SOP10'
'K102090','M',59,'03/02/96',57.100000,0,'Pre Pay','CAT 50','Churned','SOP10'
'K102100','F',56,'01/04/96',55.166667,2,'Pre Pay','CAT 50','Churned','SOP20'
'K102110','F',58,'02/12/99',10.500000,1,'Pre Pay','CAT 50','Churned','SOP10'
'K102120','M',75,'09/08/98',26.500000,10,'Pre Pay','CAT 50','Churned','SOP10'
'K102130','M',56,'31/01/99',20.666667,2,'Pre Pay','CAT 50','Churned','SOP20'
'K102140','F',63,'31/05/99',16.666667,0,'Pre Pay','CAT 50','Churned','SOP20'
'K102150','M',70,'17/09/96',49.533333,2,'Pre Pay','CAT 50','Churned','SOP10'
'K102160','F',51,'13/03/97',43.633333,1,'Pre Pay','CAT 50','Churned','SOP10'
'K102170','M',64,'26/12/98',21.866667,11,'Pre Pay','CAT 50','Churned','SOP20'
'K102180','F',55,'18/04/98',30.266667,0,'Pre Pay','CAT 50','Churned','SOP10'
'K102190','M',54,'17/11/96',47.500000,2,'Pre Pay','CAT 50','Churned','SOP20'
'K102200','M',51,'11/10/96',48.733333,6,'Pre Pay','CAT 50','Churned','SOP10'
'K102210','F',55,'23/12/96',46.300000,5,'Pre Pay','CAT 50','Churned','SOP20'
'K102220','M',61,'14/04/99',18.233333,2,'Pre Pay','CAT 50','Churned','SOP20'
'K102230','M',58,'07/07/98',27.600000,1,'Pre Pay','CAT 50','Churned','SOP10'
'K102240','F',67,'09/01/96',57.933333,1,'Pre Pay','CAT 50','Churned','SOP10'
'K102250','M',55,'24/12/99',9.766667,0,'Pre Pay','CAT 50','Churned','SOP20'
'K102260','F',58,'14/10/97',36.466667,0,'Pre Pay','CAT 50','Churned','SOP20'
'K102270','M',54,'14/08/98',26.333333,0,'Pre Pay','CAT 50','Churned','SOP20'
'K102280','F',56,'13/11/96',47.633333,2,'Pre Pay','Play 100','Churned','SOP10'
'K102290','M',64,'28/06/99',15.733333,8,'Pre Pay','Play 100','Churned','SOP20'
'K102300','M',54,'19/03/97',43.433333,1,'Pre Pay','Play 100','Churned','SOP10'
'K102310','F',55,'18/07/97',39.400000,1,'Pre Pay','Play 100','Churned','SOP10'
'K102320','F',57,'07/12/97',34.666667,8,'Pre Pay','Play 100','Churned','SOP10'
'K102330','F',58,'02/03/98',31.833333,9,'Pre Pay','Play 100','Churned','SOP20'
'K102340','F',54,'24/05/99',16.900000,7,'Pre Pay','Play 100','Churned','SOP20'
'K102350','M',53,'12/12/97',34.500000,2,'Pre Pay','Play 100','Churned','SOP20'
'K102360','F',62,'25/06/99',15.833333,2,'Pre Pay','Play 100','Churned','SOP10'
'K102370','F',54,'01/08/98',26.766667,1,'Pre Pay','Play 100','Churned','SOP10'
'K102380','M',51,'23/07/98',27.066667,1,'Pre Pay','Play 100','Churned','SOP10'
'K102390','M',63,'17/02/98',32.266667,1,'Pre Pay','Play 100','Churned','SOP20'
'K102400','M',70,'08/03/97',43.800000,2,'Pre Pay','Play 100','Churned','SOP10'
'K102410','F',55,'14/07/97',39.533333,2,'Pre Pay','Play 100','Churned','SOP10'
'K102420','M',59,'28/01/98',32.933333,0,'Pre Pay','Play 100','Churned','SOP20'
'K102430','M',56,'07/05/97',41.800000,2,'Pre Pay','Play 100','Churned','SOP20'
'K102440','F',51,'26/03/96',55.366667,2,'Pre Pay','Play 100','Churned','SOP20'
'K102450','M',59,'06/09/97',37.733333,1,'Pre Pay','Play 100','Churned','SOP20'
'K102460','M',57,'01/06/96',53.133333,0,'Pre Pay','Play 100','Active','SOP20'
'K102470','M',64,'16/08/99',14.100000,11,'Pre Pay','Play 100','Churned','SOP20'
'K102480','M',53,'26/09/99',12.733333,2,'Pre Pay','Play 100','Churned','SOP10'
'K102490','F',59,'10/01/98',33.533333,0,'Pre Pay','Play 100','Churned','SOP20'
'K102500','M',61,'16/02/97',44.466667,2,'Pre Pay','Play 100','Churned','SOP10'
'K102510','F',52,'23/12/96',46.300000,4,'Pre Pay','Play 100','Churned','SOP10'
'K102520','F',67,'09/08/99',14.333333,0,'Pre Pay','Play 100','Churned','SOP10'
'K102530','F',62,'17/06/98',28.266667,2,'Pre Pay','Play 100','Churned','SOP20'
'K102540','F',53,'01/04/99',18.666667,2,'Pre Pay','Play 100','Active','SOP20'
'K102550','M',57,'06/06/97',40.800000,1,'Pre Pay','Play 100','Churned','SOP20'
'K102560','M',51,'12/05/98',29.466667,1,'Pre Pay','Play 100','Churned','SOP10'
'K102570','F',63,'21/04/97',42.333333,9,'Pre Pay','Play 100','Churned','SOP10'
'K102580','M',56,'15/07/97',39.500000,2,'Pre Pay','Play 100','Churned','SOP10'
'K102590','F',62,'22/09/98',25.033333,1,'Pre Pay','Play 100','Churned','SOP20'
'K102600','F',45,'02/10/98',24.700000,2,'Pre Pay','CAT 100','Active','ASAD170'
'K102610','F',34,'27/09/98',24.866667,2,'Pre Pay','CAT 100','Churned','ASAD90'
'K102620','F',26,'10/12/99',10.233333,0,'Pre Pay','CAT 100','Active','S50'
'K102630','F',35,'02/10/96',49.033333,1,'Pre Pay','CAT 100','Active','ASAD170'
'K102640','M',27,'07/01/96',58.000000,5,'Pre Pay','CAT 100','Active','S50'
'K102650','M',30,'21/04/99',18.000000,10,'Pre Pay','CAT 100','Active','S50'
'K102660','F',31,'17/07/98',27.266667,2,'Pre Pay','CAT 100','Active','S80'
'K102670','F',33,'10/06/99',16.333333,1,'Pre Pay','CAT 100','Churned','ASAD90'
'K102680','F',35,'21/05/98',29.166667,0,'Pre Pay','CAT 100','Churned','ASAD90'
'K102690','F',74,'28/09/99',12.666667,0,'Pre Pay','CAT 100','Active','ASAD170'
'K102700','F',34,'15/06/98',28.333333,1,'Pre Pay','CAT 100','Active','S50'
'K102710','M',31,'02/09/98',25.700000,10,'Pre Pay','CAT 100','Active','S50'
'K102720','M',34,'06/03/96',56.033333,2,'Pre Pay','CAT 100','Churned','ASAD90'
'K102730','M',27,'28/02/96',56.266667,1,'Pre Pay','CAT 100','Active','S50'
'K102740','F',26,'25/05/96',53.366667,2,'Pre Pay','CAT 100','Churned','ASAD90'
'K102750','F',40,'01/02/98',32.800000,0,'Pre Pay','CAT 100','Active','ASAD170'
'K102760','M',52,'31/07/96',51.133333,1,'Pre Pay','CAT 100','Churned','ASAD90'
'K102770','F',27,'26/04/97',42.166667,1,'Pre Pay','CAT 100','Churned','ASAD90'
'K102780','F',32,'01/06/96',53.133333,1,'Pre Pay','CAT 100','Active','ASAD170'
'K102790','F',35,'10/12/97',34.566667,1,'Pre Pay','CAT 100','Active','S80'
'K102800','M',34,'05/10/97',36.766667,0,'Pre Pay','CAT 100','Active','S80'
'K102810','M',38,'14/05/96',53.733333,1,'Pre Pay','CAT 100','Churned','ASAD90'
'K102820','F',31,'17/11/96',47.500000,0,'Pre Pay','CAT 100','Churned','ASAD90'
'K102830','F',48,'15/10/97',36.433333,2,'Pre Pay','CAT 100','Active','ASAD170'
'K102840','F',26,'15/07/98',27.333333,6,'Pre Pay','CAT 100','Active','S50'
'K102850','F',70,'28/07/98',26.900000,0,'Pre Pay','CAT 100','Churned','ASAD90'
'K102860','M',40,'03/03/96',56.133333,1,'Pre Pay','CAT 100','Active','ASAD90'
'K102870','M',26,'16/09/96',49.566667,1,'Pre Pay','CAT 100','Churned','ASAD90'
'K102880','M',41,'17/04/98',30.300000,0,'Pre Pay','CAT 100','Active','ASAD170'
'K102890','F',48,'17/05/99',17.133333,1,'Pre Pay','CAT 100','Churned','S80'
'K102900','F',29,'19/01/96',57.600000,0,'Pre Pay','CAT 100','Active','ASAD170'
'K102910','M',44,'06/04/97',42.833333,6,'Pre Pay','CAT 100','Active','S50'
'K102920','M',33,'13/04/97',42.600000,2,'Pre Pay','CAT 100','Active','S50'
'K102930','F',34,'15/06/98',28.333333,2,'Pre Pay','CAT 100','Churned','ASAD90'
'K102940','M',53,'17/11/98',23.166667,2,'Pre Pay','CAT 100','Active','ASAD170'
'K102950','M',31,'18/06/96',52.566667,11,'Pre Pay','CAT 100','Active','ASAD170'
'K102960','M',28,'17/09/96',49.533333,5,'Pre Pay','CAT 100','Churned','ASAD90'
'K102970','F',29,'22/07/98',27.100000,2,'Pre Pay','CAT 100','Active','ASAD170'
'K102980','F',47,'13/11/97',35.466667,2,'Pre Pay','CAT 100','Churned','ASAD90'
'K102990','F',31,'16/01/98',33.333333,6,'Pre Pay','CAT 100','Active','ASAD170'
