Customer_ID,Product_01,Product_02,Product_03,Product_04,Product_05,Product_06,Product_07,Product_08,Product_09,Product_10,Product_11,Product_12
K100710,F,F,F,F,F,T,F,F,F,F,F,F
K100720,F,T,T,T,F,F,F,F,T,F,F,F
K100740,F,F,F,F,F,F,F,F,F,T,T,F
K100750,F,F,F,F,F,T,F,F,F,F,F,F
K100770,F,F,F,F,F,F,F,T,T,F,F,T
K100780,T,T,F,T,T,T,F,F,F,F,F,F
K100790,F,F,F,F,F,F,T,F,F,F,F,F
K100800,F,T,F,F,T,T,F,T,T,F,F,F
K100820,F,F,F,T,F,T,F,F,F,T,F,F
K100830,T,T,T,F,T,F,F,F,F,F,F,F
K100840,F,F,T,F,T,T,F,F,T,T,F,F
K100860,T,T,F,T,T,F,F,F,T,T,F,F
K100870,F,F,F,F,F,F,F,T,F,F,F,T
K100880,F,F,F,F,F,T,T,F,F,F,F,T
K100890,F,F,F,F,F,F,F,F,F,F,F,T
K100900,T,F,T,T,F,F,F,F,F,F,F,F
K100920,F,T,T,F,F,F,F,F,F,F,F,F
K100930,T,T,F,T,F,F,F,F,F,F,F,F
K100940,T,T,F,T,F,F,F,F,F,F,F,F
K100950,F,F,F,F,T,T,F,F,F,F,F,F
K100980,F,T,F,F,T,T,T,F,F,T,F,F
K100990,F,F,F,F,F,F,F,F,F,F,T,F
K101010,T,T,F,T,F,F,F,F,F,F,F,F
K101020,F,F,F,F,F,F,F,F,T,T,T,F
K101030,F,T,T,T,F,T,T,F,F,F,F,F
K101040,F,T,T,F,F,F,F,F,F,F,F,F
K101050,T,T,T,F,F,F,F,F,F,F,F,F
K101060,T,T,F,F,F,F,F,F,F,F,F,F
K101070,F,F,F,F,T,T,T,F,F,F,F,F
K101080,F,F,F,F,T,T,F,T,F,F,F,F
K101090,F,F,F,F,T,T,F,T,F,T,F,F
K101100,F,T,T,T,F,F,F,F,F,F,F,F
K101110,F,F,F,F,T,F,T,F,F,F,F,T
K101140,F,F,F,F,F,F,F,T,F,T,F,T
K101150,F,T,T,T,T,F,F,T,F,T,F,F
K101160,F,F,F,F,F,F,F,T,T,F,F,F
K101180,T,T,T,T,T,F,F,F,F,F,F,F
K101200,F,T,T,T,F,F,T,F,F,F,F,F
K101210,F,T,F,F,F,F,T,F,F,F,T,T
K101220,F,F,F,F,F,F,F,F,T,F,F,F
K101230,T,F,F,T,F,F,F,F,F,F,F,F
K101240,F,F,F,F,F,F,F,F,F,F,F,T
K101250,F,F,F,F,F,F,F,F,T,F,F,F
K101260,F,F,T,F,F,F,F,F,F,F,F,F
K101270,T,F,T,T,T,F,F,F,F,F,F,T
K101280,F,T,F,F,F,F,F,F,F,F,F,F
K101290,F,F,F,F,T,F,T,F,F,F,F,F
K101300,F,F,F,F,T,F,F,F,F,F,F,F
K101330,F,F,F,F,F,F,F,F,T,T,F,F
K101340,F,T,T,T,F,F,F,F,F,T,F,F
K101360,T,T,T,T,F,F,T,F,T,F,F,F
K101380,T,T,T,F,F,F,F,F,F,F,F,F
K101390,F,F,F,F,F,F,F,F,T,F,F,F
K101420,F,F,F,F,F,F,F,F,F,F,T,F
K101430,F,F,F,F,F,F,F,T,T,F,T,F
K101440,F,F,F,T,F,F,F,F,F,F,F,F
K101450,T,F,T,T,F,F,F,F,F,F,F,F
K101460,F,F,F,F,F,F,F,F,T,F,F,F
K101470,F,F,F,F,F,F,F,F,F,F,T,F
K101490,T,T,F,F,F,F,F,F,F,T,F,F
K101500,F,F,F,F,F,T,F,F,T,F,F,F
K101520,F,F,F,F,F,F,F,F,F,F,T,F
K101530,F,T,T,T,T,F,F,F,F,F,F,F
K101550,F,F,F,F,F,F,F,F,F,F,T,F
K101560,F,F,F,F,F,T,T,T,F,T,F,F
K101570,F,F,F,F,F,F,F,T,F,T,F,F
K101580,F,F,F,F,T,F,F,F,F,F,F,F
K101590,F,F,F,T,F,F,F,T,T,T,F,F
K101610,F,F,F,F,F,F,T,T,T,F,F,F
K101620,F,F,F,T,F,F,F,T,F,T,F,F
K101630,F,F,F,F,T,F,F,F,F,F,T,F
K101640,F,F,F,F,F,F,F,F,T,T,F,F
K101660,F,T,T,T,T,F,F,T,F,F,F,F
K101670,T,F,T,F,F,T,T,F,F,F,F,T
K101680,T,F,F,T,F,F,F,F,T,F,F,F
K101690,F,F,F,F,F,F,F,F,F,F,F,T
K101700,F,F,F,F,F,F,F,T,F,F,F,F
K101720,F,T,T,T,F,F,F,T,T,F,F,F
K101730,F,F,F,F,T,F,T,F,F,F,F,F
K101740,F,F,F,F,F,T,F,F,F,F,F,F
K101750,F,T,F,F,T,T,F,F,F,F,F,F
K101760,F,F,F,F,F,T,F,F,F,F,F,T
K101770,F,F,F,F,F,F,F,T,T,F,F,F
K101790,F,F,T,F,F,F,F,F,F,F,F,F
K101800,T,T,T,F,F,F,F,T,T,F,F,F
K101810,F,F,F,F,F,F,F,T,T,F,F,F
K101820,F,F,F,F,F,T,F,F,T,T,F,F
K101830,F,F,F,F,F,F,F,F,T,F,F,F
K101840,T,T,T,F,F,F,F,F,F,F,F,F
K101870,F,F,F,F,F,F,F,T,F,F,F,T
K101910,F,F,T,F,F,F,F,F,F,F,F,F
K101920,T,T,F,T,F,F,F,F,F,T,F,F
K101930,F,F,T,F,F,F,F,F,F,F,T,F
K101950,F,F,F,F,F,T,T,F,F,F,F,F
K101970,F,F,F,F,F,F,F,F,T,F,F,F
K101980,F,F,F,F,F,T,T,F,F,F,F,F
K101990,F,F,F,F,F,F,F,F,F,F,T,F
K102000,F,F,F,F,F,F,F,F,T,T,F,F
K102010,F,T,T,F,F,F,F,F,F,F,F,F
K102030,F,F,F,F,T,F,T,F,F,F,F,T
K102040,F,T,T,T,F,F,F,F,T,F,F,F
K102050,T,T,T,F,F,F,F,F,T,T,F,F
K102060,F,F,F,F,F,T,T,F,F,F,F,F
K102080,F,F,F,F,F,F,T,T,T,F,F,F
K102090,T,T,T,F,F,F,F,F,F,F,F,F
K102100,F,F,F,F,F,F,F,T,T,F,F,T
K102120,F,F,F,F,F,F,F,F,F,T,F,F
K102130,F,T,T,T,F,F,F,F,F,F,F,F
K102140,T,F,F,F,F,F,F,T,F,F,F,F
K102150,T,T,T,F,F,F,F,T,F,F,F,F
K102160,F,T,F,F,F,T,F,F,F,F,F,F
K102170,F,F,F,F,T,T,F,F,F,F,T,F
K102180,T,T,F,T,F,F,F,F,F,F,F,F
K102190,F,F,F,F,F,F,T,F,F,F,T,F
K102200,F,T,T,T,F,F,F,F,F,F,F,F
K102210,F,F,F,F,T,T,F,F,F,F,F,F
K102220,T,F,T,T,F,F,F,F,F,F,F,F
K102230,F,F,F,T,F,F,F,F,F,F,F,F
K102240,T,F,T,F,F,F,F,F,F,F,F,F
K102250,F,F,F,F,F,F,F,F,F,F,T,F
K102270,T,F,F,F,F,F,F,F,F,T,F,F
K102280,F,T,T,T,F,F,F,F,F,F,F,F
K102300,F,F,F,F,T,F,F,F,F,F,F,T
K102310,F,F,F,F,T,T,F,F,F,F,F,F
K102330,T,T,F,T,T,F,T,F,F,F,F,F
K102340,F,T,T,T,T,F,F,F,F,F,F,F
K102350,T,F,F,F,F,F,T,F,F,F,F,F
K102370,F,F,T,F,F,F,F,F,F,F,F,F
K102380,F,F,F,F,F,F,F,F,F,F,T,F
K102410,F,F,F,F,T,F,F,F,T,F,T,F
K102420,F,F,F,F,F,F,F,T,F,F,F,F
K102430,F,T,T,T,F,F,T,F,F,F,F,F
K102440,F,F,F,F,F,T,F,F,F,F,F,F
K102450,F,F,F,F,F,F,F,T,F,F,F,T
K102460,T,F,T,T,F,F,F,F,F,F,F,F
K102470,F,F,F,F,F,F,T,F,F,F,F,T
K102480,F,F,F,F,F,F,F,T,F,F,F,F
K102490,F,T,F,F,F,F,F,F,F,F,F,F
K102500,T,F,T,T,F,F,T,F,F,F,F,F
K102510,F,T,T,T,F,F,F,T,T,T,F,F
K102530,F,F,F,F,F,F,T,F,F,F,T,F
K102550,F,F,F,T,F,F,T,T,F,F,F,F
K102560,F,T,T,T,F,F,F,F,F,F,F,F
K102570,F,T,T,T,F,F,F,T,T,F,F,F
K102580,F,F,F,F,F,F,T,F,F,F,F,F
K102590,F,T,F,F,F,F,F,F,F,F,F,F
K102600,T,T,T,T,F,F,T,T,T,T,F,T
K102610,T,T,F,T,F,F,F,T,F,T,F,F
K102620,F,F,F,T,F,F,F,T,T,T,T,F
K102630,T,T,F,T,F,F,F,F,F,F,F,F
K102640,T,T,T,T,T,T,T,T,T,T,F,F
K102650,T,F,T,T,F,F,F,F,F,F,T,T
K102660,T,T,T,F,F,F,F,T,T,T,F,F
K102670,T,T,F,T,F,F,T,F,F,T,F,F
K102680,T,F,T,T,T,T,T,F,F,F,F,F
K102690,T,T,T,T,F,F,F,T,F,T,F,F
K102700,F,T,T,T,F,F,T,F,F,F,F,F
K102710,T,T,T,T,F,F,F,F,F,F,T,F
K102720,T,T,T,T,F,F,F,T,T,F,T,F
K102730,T,F,F,F,F,F,F,F,T,T,T,T
K102740,T,T,T,T,F,F,F,F,F,F,T,F
K102750,T,T,T,T,T,T,T,F,F,T,F,T
K102760,F,F,F,F,F,F,F,T,T,T,T,T
K102770,T,F,T,T,F,F,F,F,F,F,T,F
K102780,F,F,F,T,T,T,T,T,T,T,F,F
K102790,F,F,F,F,F,F,F,T,T,T,F,F
K102800,F,T,T,T,F,F,F,F,F,F,F,F
K102810,F,F,F,F,F,F,F,T,T,T,F,F
K102820,T,F,T,F,F,F,F,T,T,F,F,F
K102830,T,T,F,T,T,T,F,F,F,F,F,T
K102840,T,T,F,T,F,F,F,T,F,T,F,F
K102850,T,T,T,T,F,F,F,T,F,F,T,T
K102860,T,F,T,T,F,F,F,F,F,F,T,T
K102870,F,T,T,T,T,T,F,T,F,T,F,F
K102880,T,F,F,T,T,F,T,T,T,T,F,F
K102890,F,F,F,F,T,F,T,F,T,T,F,F
K102900,F,F,F,F,T,F,F,T,T,T,F,F
K102910,F,F,F,F,F,F,F,T,T,T,F,F
K102920,F,T,T,T,F,F,T,F,F,F,F,F
K102930,T,T,T,T,F,F,F,F,F,T,F,F
K102940,F,F,F,F,F,F,F,T,T,T,F,F
K102950,T,T,T,T,F,F,F,F,F,F,F,F
K102960,T,T,T,F,F,F,T,F,F,F,F,F
K102970,T,T,T,T,T,F,T,F,F,F,F,F
K102980,F,F,F,F,T,T,T,T,T,T,F,F
K102990,F,F,F,F,F,F,F,T,T,T,T,F
K103000,T,T,T,T,F,F,F,T,T,T,F,F
K103010,F,F,T,F,F,F,F,T,T,T,F,F
K103020,F,F,F,F,F,F,F,T,T,T,F,F
K103030,T,T,T,T,F,F,F,F,F,T,F,F
K103040,T,F,F,T,F,F,F,F,F,T,T,F
K103050,F,F,F,F,F,F,F,T,T,T,T,F
K103060,T,T,T,T,F,F,F,F,F,F,F,F
K103070,T,F,T,T,T,F,F,T,T,T,F,F
K103080,T,T,T,T,F,F,F,F,T,T,F,F
K103090,T,T,T,F,F,F,F,T,T,F,F,F
K103100,T,T,T,T,F,F,F,F,F,F,F,F
K103110,T,F,T,T,F,T,F,T,T,T,F,T
K103120,T,T,F,T,F,F,F,T,F,T,T,F
K103130,F,F,F,F,F,T,T,T,T,T,F,T
K103140,F,T,T,T,F,F,F,T,T,T,F,F
K103150,F,F,F,F,F,T,F,T,T,T,T,T
K103160,T,T,T,T,T,T,T,T,T,F,T,F
K103170,F,F,F,F,F,F,F,T,F,T,F,F
K103180,F,T,T,T,F,F,F,F,F,F,F,F
K103190,T,F,T,T,T,T,T,F,F,F,F,F
K103200,F,F,F,F,T,T,T,F,T,T,T,F
K103210,T,T,T,T,T,T,T,F,F,F,F,F
K103220,F,F,F,F,F,F,F,T,T,T,F,F
K103230,T,T,T,T,T,T,T,F,F,F,T,T
K103240,F,F,F,F,F,F,F,T,T,T,F,T
K103250,T,T,T,T,F,F,F,T,T,F,T,F
K103260,T,F,T,T,F,F,F,T,T,T,T,F
K103270,T,T,T,F,F,F,F,F,F,F,T,F
K103280,F,F,F,F,T,T,F,F,T,T,F,F
K103290,T,T,T,T,T,T,T,F,F,F,T,T
K103300,T,T,T,T,F,F,F,T,F,T,F,F
K103310,F,F,F,F,F,F,F,T,T,T,F,F
K103320,T,T,T,T,F,F,F,T,T,T,F,F
K103330,T,T,F,T,F,F,F,F,T,T,F,F
K103340,F,F,F,F,T,T,F,T,T,T,F,F
K103350,T,T,T,T,F,F,F,F,F,F,F,F
K103360,T,T,T,F,T,T,T,T,F,F,T,F
K103370,T,T,T,T,F,F,F,F,F,F,F,F
K103380,T,F,T,T,T,F,F,F,F,F,F,F
K103390,F,T,F,T,F,F,F,F,F,F,F,F
K103400,F,F,F,F,F,F,F,T,T,T,F,F
K103410,T,F,T,F,F,F,F,T,T,T,F,F
K103420,T,T,F,T,F,F,F,F,F,F,F,F
K103430,T,T,T,T,F,F,F,F,F,T,F,F
K103440,F,F,F,F,F,F,F,F,F,T,T,F
K103450,F,F,F,F,F,F,F,T,T,T,F,T
K103460,F,T,T,T,F,F,T,F,F,F,F,F
K103470,F,T,T,T,F,F,F,F,F,F,F,F
K103480,T,T,T,F,F,F,F,F,F,F,F,F
K103490,F,T,T,T,F,F,F,F,F,F,F,F
K103500,F,F,F,F,T,T,T,F,T,T,T,T
K103510,F,T,T,T,F,F,F,T,F,T,F,F
K103520,T,T,T,F,T,F,T,F,T,T,F,F
K103530,T,F,T,T,F,F,F,T,F,F,F,F
K103540,F,T,T,T,F,F,F,F,F,F,F,F
K103550,F,F,T,F,F,F,F,T,T,T,F,F
K103560,F,F,F,F,F,F,F,T,T,F,F,F
K103570,T,T,T,T,T,T,T,T,F,F,F,F
K103580,F,F,F,F,T,T,T,T,T,T,F,F
K103590,F,T,F,T,F,F,F,F,F,F,T,T
K103600,T,T,T,T,F,F,F,F,F,F,F,F
K103610,F,F,F,F,T,F,F,T,T,T,T,F
K103620,F,F,F,F,F,T,T,T,T,T,F,F
K103630,T,F,T,T,F,F,F,F,F,T,F,T
K103640,T,F,F,F,F,F,F,F,T,T,T,T
K103650,F,F,F,F,T,F,T,T,T,T,T,T
K103660,F,F,F,F,F,F,F,F,T,T,T,T
K103670,T,F,T,T,F,F,F,T,T,F,T,T
K103680,T,F,T,T,T,T,T,F,F,F,F,F
K103690,F,F,F,F,F,F,F,F,T,T,F,F
K103700,F,T,T,T,T,T,T,T,F,T,F,F
K103710,F,T,T,T,F,F,F,F,F,F,F,F
K103720,T,F,T,T,T,F,T,F,F,F,F,F
K103730,T,T,T,T,T,T,F,T,T,F,T,F
K103740,T,T,T,T,T,F,T,F,F,F,T,T
K103750,T,T,T,F,T,T,T,T,T,F,F,T
K103770,T,F,T,T,F,F,F,T,T,F,T,T
K103780,T,T,T,F,F,F,F,F,F,F,F,F
K103790,F,F,F,F,F,F,F,T,T,T,T,T
K103800,T,T,T,F,T,F,T,F,F,F,F,F
K103810,T,T,T,T,F,F,F,F,F,F,T,F
K103820,T,T,T,T,T,T,T,F,T,T,F,F
K103830,F,T,T,T,F,F,F,T,F,T,F,F
K103840,F,F,F,F,T,F,T,T,T,T,T,T
K103850,F,F,F,F,T,F,T,F,T,T,T,T
K103860,T,F,T,T,F,F,T,F,F,F,F,F
K103870,T,T,F,T,F,F,T,F,F,F,T,F
K103880,T,T,T,T,F,F,F,F,F,F,F,F
K103890,T,T,T,T,F,F,F,T,F,T,F,F
K103900,T,T,T,T,T,T,T,T,F,F,F,F
K103910,T,T,T,T,F,F,F,F,T,F,T,T
K103920,T,T,T,T,F,F,F,F,F,F,T,T
K103930,T,T,T,F,F,F,F,F,F,F,F,F
K103940,T,T,T,T,F,F,F,F,F,F,F,F
K103950,F,T,F,T,F,F,F,F,F,F,T,F
K103960,F,F,F,F,F,F,F,T,T,T,T,T
K103970,T,T,T,T,F,F,F,F,F,F,T,T
K103980,F,F,F,T,F,F,F,F,T,T,F,F
K103990,T,T,T,T,F,F,T,F,F,F,F,F
K104000,F,T,T,T,F,F,F,T,F,F,F,F
K104010,T,F,T,T,F,T,T,T,F,F,F,F
K104020,F,F,F,F,F,F,F,T,T,T,T,F
K104030,F,F,F,F,F,F,F,T,T,T,T,F
K104040,T,T,T,F,T,F,T,F,F,F,F,T
K104050,F,F,F,F,F,F,F,T,T,F,F,F
K104060,T,T,T,T,F,F,F,T,T,T,F,F
K104070,T,T,T,T,F,F,F,F,F,F,F,F
K104080,T,T,F,T,F,F,F,T,T,T,F,F
K104090,T,T,T,F,F,F,F,F,F,F,F,F
K104100,F,T,T,T,F,F,F,T,F,F,F,F
K104110,T,F,T,T,F,F,F,F,F,F,F,F
K104120,T,T,T,T,F,F,F,F,F,F,T,T
K104130,T,T,T,T,T,T,T,T,T,T,F,F
K104140,T,T,T,T,F,F,F,F,F,F,T,T
K104150,T,T,T,T,F,F,F,T,F,T,F,F
K104160,T,T,T,T,T,T,T,F,F,F,T,T
K104170,T,T,T,F,F,F,F,T,T,F,F,F
K104180,T,F,F,F,F,F,F,T,T,T,F,F
K104190,F,F,F,F,F,F,F,F,T,T,T,T
K104200,T,T,T,T,F,F,F,F,F,F,T,T
K104210,F,F,F,F,F,F,F,F,T,T,F,F
K104220,F,T,T,F,F,F,F,F,F,F,F,F
K104230,F,F,F,F,F,F,F,F,F,T,T,T
K104240,F,F,F,F,F,F,F,T,T,T,F,F
K104250,T,T,F,T,F,F,F,F,F,F,F,F
K104260,T,T,T,T,F,F,F,F,F,F,F,T
K104270,F,F,F,F,F,F,F,T,T,T,F,F
K104280,T,F,F,T,F,F,F,F,F,F,T,T
K104290,T,T,F,T,T,T,T,F,F,F,F,F
K104300,T,T,T,T,F,F,F,F,F,F,T,F
K104310,F,F,F,F,F,F,F,T,T,T,F,F
K104320,T,T,T,T,F,T,F,F,F,F,F,F
K104330,F,T,F,F,F,F,F,F,T,T,F,F
K104340,T,T,T,T,F,F,F,F,F,F,F,F
K104350,F,F,F,T,F,F,F,T,T,T,F,F
K104360,T,F,T,T,F,F,F,F,F,F,F,T
K104370,T,T,F,T,F,F,F,T,T,T,T,T
K104380,F,T,T,T,F,F,F,F,F,F,F,F
K104390,T,T,F,F,F,F,F,F,T,T,F,F
K104400,T,T,T,T,F,T,F,F,F,T,F,F
K104410,T,T,T,T,F,F,F,F,F,F,F,F
K104420,T,F,F,T,T,T,T,F,F,F,F,F
K104430,F,F,F,F,F,F,F,F,T,T,T,T
K104440,T,T,T,F,F,F,F,F,F,F,T,F
K104450,T,T,T,F,F,F,F,F,F,F,F,F
K104460,F,T,F,F,T,T,T,T,T,T,F,F
K104470,T,T,T,T,F,F,F,T,T,F,T,T
K104480,F,T,F,T,F,F,F,F,F,F,F,F
K104490,F,F,F,F,F,F,F,T,T,T,T,T
K104500,T,T,T,F,F,F,F,F,F,F,F,F
K104510,T,T,T,T,F,F,F,T,T,T,F,T
K104520,T,T,F,T,F,F,F,F,F,F,F,T
K104530,F,F,F,F,F,F,F,T,T,T,F,F
K104540,T,T,T,T,F,F,F,F,F,F,F,F
K104550,T,T,T,T,T,T,T,F,F,F,T,T
K104560,T,F,T,T,F,T,T,F,F,F,F,F
K104570,T,T,T,T,F,F,F,F,F,F,F,F
K104580,T,F,T,T,T,F,F,F,F,F,F,F
K104590,T,T,T,F,F,F,F,F,F,F,F,F
K104600,T,T,T,T,T,F,T,F,F,F,T,T
K104610,F,T,T,T,F,F,F,T,T,T,F,T
K104620,T,T,T,T,T,T,T,F,F,F,F,T
K104630,T,T,F,T,F,F,F,F,F,F,F,F
K104640,T,T,T,T,T,T,T,T,F,T,F,T
K104650,T,T,F,T,F,F,F,F,F,F,F,F
K104660,T,T,T,T,F,F,F,F,F,F,F,F
K104670,T,T,F,F,T,F,T,F,F,F,F,F
K104680,F,T,T,T,F,F,F,F,F,F,T,F
K104690,F,F,F,F,F,F,F,T,T,T,F,F
K104700,F,F,F,F,T,F,F,T,F,T,F,F
K104710,F,T,T,T,F,F,F,F,F,F,F,F
K104720,T,T,T,T,F,F,F,T,T,T,T,T
K104730,T,T,T,T,F,F,F,T,F,T,F,F
K104740,T,T,T,F,F,F,F,F,T,T,F,F
K104750,T,T,T,T,F,F,F,F,F,F,F,F
K104760,F,F,F,F,F,F,F,T,T,T,F,F
K104770,F,F,T,F,F,F,F,T,T,T,F,F
K104780,F,F,F,F,F,F,F,T,T,T,F,T
K104790,T,T,T,F,F,F,F,T,T,T,F,F
K104800,T,T,T,T,T,F,F,F,F,F,F,F
K104810,F,F,F,F,F,T,T,T,T,T,F,F
K104820,F,F,F,F,F,F,F,T,T,T,T,F
K104830,T,T,F,T,T,T,T,F,F,F,F,F
K104840,T,F,T,T,F,F,F,F,F,F,F,F
K104850,F,F,F,F,F,F,F,T,T,T,F,F
K104860,F,F,T,T,F,F,F,T,T,F,F,F
K104870,F,F,F,F,F,F,F,T,T,T,T,T
K104880,F,F,F,F,F,F,F,T,T,T,F,F
K104890,F,F,F,F,T,F,T,T,T,T,T,T
K104900,F,T,T,T,F,F,F,F,T,F,F,F
K104910,T,T,T,T,F,F,F,F,F,F,F,T
K104920,F,T,T,T,F,F,F,T,T,F,F,F
K104930,F,T,T,T,T,T,T,T,T,F,F,F
K104940,T,T,T,T,T,T,T,F,T,T,F,F
K104950,F,T,T,F,T,F,F,T,T,T,T,T
K104960,T,T,T,T,F,F,F,F,F,F,F,F
K104970,F,F,F,F,T,F,T,T,T,T,T,T
K104980,F,T,T,T,F,F,F,F,F,F,F,F
K104990,T,T,T,T,T,T,T,F,F,F,F,F
K105000,F,T,T,T,F,F,F,F,F,F,F,T
K105010,F,F,F,F,T,T,T,F,T,T,F,F
K105020,T,T,T,T,F,F,F,F,F,F,T,F
K105030,T,T,T,T,F,F,F,T,T,F,F,F
K105040,F,T,F,T,F,F,F,F,F,F,F,F
K105050,T,T,T,T,F,F,F,F,F,F,T,T
K105060,T,T,T,T,F,F,F,F,F,F,F,F
K105070,T,T,F,T,F,T,F,F,F,F,F,F
K105080,T,T,T,F,F,F,F,F,F,F,T,T
K105090,F,F,F,F,F,F,F,T,T,T,F,F
K105100,T,T,T,F,F,F,F,F,F,F,T,T
K105110,F,F,F,F,F,F,F,F,T,T,F,F
K105120,F,F,F,F,F,F,F,T,T,T,F,F
K105130,T,T,T,T,F,F,F,T,T,T,F,F
K105140,T,T,T,F,F,T,F,T,T,F,T,T
K105150,F,T,T,T,F,T,F,F,F,F,F,F
K105160,F,T,T,T,F,F,F,T,T,F,F,F
K105170,F,F,F,F,F,F,F,T,T,T,F,F
K105180,T,T,T,T,F,F,T,F,F,F,F,F
K105190,T,T,T,T,F,F,F,F,T,T,T,F
K105200,T,T,F,T,F,F,F,F,F,F,T,T
K105210,F,F,F,F,F,F,F,T,T,T,F,T
K105220,F,F,F,F,T,F,F,T,T,T,F,T
K105230,F,F,F,F,F,F,F,T,T,T,F,F
K105240,F,F,F,F,F,F,F,T,T,T,F,F
K105250,T,T,T,T,T,T,T,T,T,T,T,F
K105260,T,T,T,T,F,F,F,F,F,F,F,T
K105270,T,F,T,T,F,T,T,F,F,F,F,F
K105280,F,F,F,F,F,T,F,F,T,T,F,T
K105290,T,T,T,T,F,F,F,F,F,F,T,F
K105300,T,F,F,F,F,T,F,T,F,T,T,F
K105310,T,T,T,T,F,F,F,T,T,T,F,F
K105320,F,T,T,F,F,F,F,T,T,T,T,T
K105330,F,F,T,T,F,F,F,T,T,T,F,F
K105340,T,T,F,T,F,F,F,F,F,T,F,F
K105350,T,T,T,T,F,F,F,F,F,F,F,F
K105360,T,T,F,T,F,T,T,F,F,F,T,T
K105370,F,F,F,F,F,F,F,T,T,F,F,F
K105380,F,F,F,F,F,F,F,T,F,T,T,F
K105390,T,T,T,T,F,F,F,F,F,F,T,T
K105400,T,T,F,T,F,F,F,F,F,F,T,T
K105410,F,F,F,F,F,F,F,T,T,T,F,F
K105420,T,T,T,T,T,T,T,F,F,F,F,F
K105430,T,T,T,T,F,F,F,T,T,T,F,F
K105440,F,F,F,F,T,F,F,F,F,T,T,T
K105450,F,T,T,T,F,F,F,F,T,F,F,F
K105460,F,F,F,T,F,F,F,T,T,T,F,F
K105470,T,T,T,T,F,F,T,F,F,F,T,T
K105480,T,T,T,F,T,T,T,F,F,F,F,F
K105490,T,T,T,T,F,T,F,F,F,F,F,F
K105500,T,T,T,T,F,F,F,F,F,F,T,F
K105510,T,T,F,T,F,F,F,T,T,T,T,F
K105520,T,T,T,T,T,F,T,T,F,T,T,T
K105530,F,F,F,F,F,F,F,T,T,T,T,T
K105540,T,T,T,T,F,F,F,F,F,F,T,T
K105550,F,F,F,F,F,F,F,T,T,T,F,T
